Song_Name,Artist,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Temp,Target
Rodeo,Lil Nas X,0.706,0.679,9,-5.614,0.0324,0.139,6.98e-05,0.465,0.657,140.081,1
Baby,Quality Control,0.97,0.463,10,-7.259,0.366,0.0957,0,0.151,0.46,108.003,1
It's You,Ali Gatie,0.732,0.463,11,-6.972,0.0287,0.374,0,0.194,0.397,95.971,1
"Go Loko (feat. Tyga, Jon Z)",YG,0.88,0.67,2,-5.177,0.0468,0.325,4.17e-06,0.0662,0.131,101.008,1
Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,0.894,0.511,2,-4.768,0.42,0.0251,0,0.14,0.568,120.08,1
EARFQUAKE,"Tyler, The Creator",0.554,0.498,9,-8.866,0.0685,0.23,5.98e-06,0.795,0.413,79.635,1
MIDDLE CHILD,J. Cole,0.837,0.364,8,-11.713,0.276,0.149,0,0.271,0.463,123.984,1
Wow.,Post Malone,0.833,0.539,11,-7.399,0.178,0.163,2.1e-06,0.101,0.385,99.947,1
Good as Hell,Lizzo,0.684,0.905,0,-3.187,0.0765,0.285,0,0.525,0.492,95.985,1
Someone You Loved,Lewis Capaldi,0.501,0.405,1,-5.679,0.0319,0.751,0,0.105,0.446,109.891,1
If I Can't Have You,Shawn Mendes,0.692,0.809,2,-4.198,0.0602,0.524,0,0.147,0.864,123.911,1
Sanguine Paradise,Lil Uzi Vert,0.729,0.603,6,-6.736,0.0666,0.0948,0,0.113,0.207,134.972,1
The Git Up,Blanco Brown,0.847,0.678,9,-8.635,0.109,0.0669,0,0.274,0.811,97.984,1
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,0.883,0.525,2,-8.054,0.0633,0.189,0,0.0971,0.312,99.978,1
Call You Mine (with Bebe Rexha),The Chainsmokers,0.591,0.702,7,-5.59,0.0289,0.225,0,0.414,0.501,104.003,1
Going Bad (feat. Drake),Meek Mill,0.889,0.496,4,-6.365,0.0905,0.259,0,0.252,0.544,86.003,1
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,0.581,0.662,9,-5.239,0.303,0.0153,0,0.111,0.434,93.023,1
Sucker,Jonas Brothers,0.842,0.734,1,-5.065,0.0588,0.0427,0,0.106,0.952,137.958,1
Pure Water (with Migos),Mustard,0.682,0.559,0,-5.545,0.127,0.174,0,0.344,0.137,202.015,1
when the party's over,Billie Eilish,0.367,0.111,4,-14.084,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,1
Callaita,Bad Bunny,0.61,0.624,2,-4.773,0.309,0.6,2.12e-06,0.243,0.244,176.169,1
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,0.614,0.839,0,-4.143,0.0702,0.0291,0,0.112,0.657,182.123,1
7 rings,Ariana Grande,0.778,0.317,1,-10.732,0.334,0.592,0,0.0881,0.327,140.048,1
China,Anuel AA,0.786,0.808,7,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,1
MOOD 4 EVA,Beyoncé,0.608,0.709,7,-6.175,0.374,0.119,0,0.337,0.709,105.742,1
Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.896,0.671,1,-6.977,0.289,0.103,0,0.552,0.358,112.502,1
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,0.746,0.787,4,-6.373,0.12,0.214,0,0.0669,0.607,95.005,1
